CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12
840763,1014071,490,1202781,0,115062,0,2,0,1170843,0,0,14055
770905,1052786,765,1177849,0,136576,0,3,0,1228368,0,0,17970
667912,1103993,1662,1179738,0,193465,0,6,0,1294250,0,0,29567
585673,1136137,3246,1181736,0,253699,0,15,0,1311923,0,1,44035
500352,1164665,5996,1188782,0,337362,0,39,0,1328725,0,1,61041
414657,1198407,11769,1193704,0,443379,0,70,0,1344589,0,3,87573
335073,1233913,23196,1187551,1,559038,0,175,0,1354968,1,14,131185
274964,1263832,39992,1168673,2,652789,0,380,0,1346353,1,27,182411
254169,1299479,50337,1180526,4,735555,0,526,0,1374056,5,34,221729
219244,1323395,67989,1132982,6,796949,0,865,0,1364348,15,76,272694
184557,1355469,100801,1080713,17,870926,0,1502,0,1338121,41,134,347371
156984,1389035,157163,1012878,49,956737,0,2681,0,1286838,84,279,465704
142622,1411466,212823,960688,102,1023943,0,4248,0,1243284,133,478,553738
128701,1439384,288205,879097,243,1086596,0,6903,0,1186066,309,957,659680
115500,1470126,391038,781364,629,1144337,0,11537,0,1125006,700,1984,785172
107172,1483092,471628,698171,1082,1178346,0,16623,0,1067776,1114,3215,871807
93810,1512747,552379,518416,1901,1193857,0,21477,0,1033538,1554,5992,1026717
85837,1522974,629043,435323,3642,1227643,0,32446,0,969250,2337,8891,1098234
78415,1529841,699693,369334,6105,1258601,0,46009,0,892414,3364,13143,1163192
70383,1528661,794446,306457,11147,1289156,0,65478,0,788699,5251,19796,1230429
66162,1524361,856911,265683,19481,1319268,0,91106,0,702839,7426,26571,1264848
58820,1514061,922768,220364,30770,1351123,0,123383,0,609379,10756,40218,1301974
48687,1496160,980436,171601,53624,1386094,2,178224,0,516031,16518,62807,1342905
42830,1473882,1013488,144730,74666,1413322,3,236337,0,448545,21844,86345,1371372
36350,1466310,1011172,112905,108044,1451558,1,321388,0,350223,29584,115015,1408857
29643,1442719,1017886,91895,140930,1473143,5,390502,0,313729,35714,146910,1434688
21004,1398419,1035905,71997,194186,1501361,5,486493,0,253604,48335,205709,1469752
14788,1329891,1092807,58223,276699,1525356,10,591629,0,193683,66829,284307,1499114
11333,1277810,1134365,51075,352616,1541124,42,678424,0,156096,86094,347113,1511369
7958,1195048,1190745,43545,438269,1555765,101,774098,0,116414,120968,452557,1522683
4747,1101897,1242823,36348,540321,1561618,303,877115,1,82158,176106,585776,1525145
3274,1016889,1271830,31496,608399,1561080,523,939398,3,62031,217555,674950,1517966
1605,925467,1269639,22356,734624,1537354,898,981473,6,54799,293112,806522,1492067
847,845868,1279767,17180,799998,1527759,1550,1044423,9,41186,358389,896205,1462413
387,765932,1278577,13121,863682,1511620,2784,1103784,19,28480,432377,981545,1421261
188,675614,1295141,10044,933374,1489294,5346,1155555,42,17143,521152,1062204,1355920
118,603902,1282574,7943,986710,1466661,9836,1197153,122,11141,602530,1112093,1288730
76,522094,1253482,5830,1041466,1425031,19969,1244124,241,6268,721949,1190472,1190655
22,461660,1218131,3817,1077668,1379757,32559,1284285,532,3334,825500,1241161,1095764
13,407783,1166086,2839,1097240,1339342,49345,1316121,1026,1989,906875,1275714,1010080
3,365039,1188074,1571,1087349,1273799,57379,1365484,1726,852,981990,1321776,993206
0,324829,1165701,752,1099498,1217022,80034,1397063,3118,492,1042902,1347730,920853
0,280658,1126436,370,1126702,1153730,114007,1424119,5333,235,1101627,1368527,847847
0,233460,1096956,206,1165639,1061900,166788,1445167,9280,96,1155688,1380107,770884
0,196762,1037386,135,1216686,977394,233162,1463696,16267,46,1194779,1378416,706623
0,165247,979140,58,1254500,880060,319695,1472588,26252,19,1228479,1370044,654751
0,130279,932952,33,1291213,780882,411558,1477115,41948,8,1263494,1345592,597265
0,97488,865612,12,1315809,687554,511446,1479451,66077,3,1290356,1301217,542770
0,78905,911856,8,1332003,606537,579556,1437664,119162,5,1309664,1330783,473230
0,61089,886129,2,1351291,545052,661606,1432271,159844,3,1328673,1278513,432498
0,43335,836418,1,1377100,476626,761149,1418490,221627,0,1350286,1195719,387832
0,28218,766017,0,1398256,398355,863074,1392550,293712,0,1364480,1091205,336259
0,20652,680499,0,1415023,349412,940631,1385607,377540,0,1371275,997394,297555
0,13107,578014,0,1416751,297064,1024028,1357114,462194,0,1373755,892842,255156
0,7685,487343,0,1406904,239747,1090765,1314406,570404,0,1368728,782227,208412
0,4579,412474,0,1389302,204483,1150042,1283723,666896,0,1350255,701511,175246
0,2192,385752,0,1343307,163826,1128094,1261063,775200,0,1256737,701352,144296
0,1285,338560,0,1327470,131675,1174071,1204103,857159,0,1196838,633060,116762
0,615,290595,0,1327105,103721,1217989,1131853,934691,0,1134475,562299,92746
0,340,248121,0,1302159,80754,1254729,1045665,1001645,0,1059401,508224,71055
0,152,202681,0,1273844,61665,1291798,970213,1065294,0,984302,464605,52928
0,77,163130,0,1239297,45560,1329959,871516,1115662,0,894890,422580,38424
0,46,132901,0,1194941,31510,1364573,764076,1166988,0,813448,381793,26054
0,14,104210,0,1144883,23091,1396396,668457,1205001,0,730033,342240,17088
0,5,105482,0,1156365,18173,1414376,575465,1237154,0,629564,339424,15889
0,7,93326,0,1158737,13097,1434486,513673,1262577,0,584460,304302,11446
0,1,77959,0,1165641,9116,1456490,449284,1290185,0,548440,263501,8131
0,1,55095,0,1143974,5461,1480906,373072,1323876,0,501247,213358,4396
0,1,39083,0,1124030,4008,1493289,335200,1353814,0,468517,176614,2744
0,0,24421,0,1092971,2581,1503427,290554,1379905,0,433432,141806,1676
0,0,14249,0,1040874,1426,1498232,234908,1413348,0,392921,103421,852
0,0,7411,0,975367,767,1483721,193904,1443077,0,347640,73327,340
0,0,6280,0,835722,488,1430172,155268,1478223,0,304232,57102,118
0,0,4272,0,780700,287,1398604,129360,1496968,0,279180,42763,86
0,0,2261,0,697604,115,1341753,100737,1518635,0,245180,25237,38
0,0,1069,0,584478,44,1278377,81551,1526437,0,214997,15541,15
0,0,472,0,495867,18,1203607,69435,1529945,0,185500,9168,8
0,0,171,0,401602,18,1114232,56355,1517489,0,154756,5113,2
0,0,60,0,297003,7,990208,40618,1492927,0,120831,2372,0
0,0,30,0,231116,1,899405,31300,1461275,0,95745,1092,0
0,0,12,0,216491,1,794530,19184,1384826,0,71475,908,0
0,0,1,0,169400,0,695971,12274,1317484,0,54597,420,0
0,0,0,0,133241,0,610228,7630,1252673,0,41359,157,0
0,0,0,0,90347,0,505637,4766,1136085,0,28309,67,0
0,0,0,0,67969,0,431333,3300,1051420,0,20009,27,0
0,0,0,0,47200,0,353291,2026,935049,0,12687,6,0
0,0,0,0,31509,0,292628,1139,838940,0,7738,1,0
0,0,0,0,20288,0,239104,635,743223,0,4327,0,0
0,0,0,0,10803,0,205672,295,715155,0,2486,0,0
0,0,0,0,7830,0,174893,148,662024,0,1507,0,0
0,0,0,0,4722,0,135251,53,592926,0,776,0,0
0,0,0,0,2241,0,104428,25,522378,0,365,0,0
0,0,0,0,1265,0,81235,16,471478,0,197,0,0
0,0,0,0,659,0,62611,6,424678,0,98,0,0
0,0,0,0,264,0,43693,1,369931,0,34,0,0
0,0,0,0,92,0,30584,2,320541,0,9,0,0
0,0,0,0,114,0,20077,1,282045,0,3,0,0
0,0,0,0,91,0,13797,0,246490,0,5,0,0
0,0,0,0,30,0,7987,0,199697,0,1,0,0
0,0,0,0,5,0,4792,0,148897,0,0,0,0
0,0,0,0,4,0,3008,0,117168,0,0,0,0
0,0,0,0,0,0,1478,0,78106,0,0,0,0
0,0,0,0,0,0,756,0,54518,0,0,0,0
0,0,0,0,0,0,454,0,38240,0,0,0,0
0,0,0,0,0,0,194,0,20704,0,0,0,0
0,0,0,0,0,0,99,0,13472,0,0,0,0
0,0,0,0,0,0,38,0,8094,0,0,0,0
0,0,0,0,0,0,11,0,4172,0,0,0,0
0,0,0,0,0,0,9,0,2448,0,0,0,0
0,0,0,0,0,0,5,0,1184,0,0,0,0
0,0,0,0,0,0,3,0,580,0,0,0,0
0,0,0,0,0,0,1,0,268,0,0,0,0
0,0,0,0,0,0,0,0,139,0,0,0,0
0,0,0,0,0,0,0,0,82,0,0,0,0
0,0,0,0,0,0,0,0,36,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
